equipment_id,equipment_eq_id,equipment_name,department,wo_id,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments,audit_item,due_date
2082,EQ ID 2082,"Digital PSI gauge , 9228301003",Quality Assurance,11282,Pending,0.00,0.00,,Outside Service,0.00,,,[],Micro Quality Calibration,4/15/2025
2082,EQ ID 2082,"Digital PSI gauge , 9228301003",Quality Assurance,1014,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:51 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],Micro Quality Calibration,3/18/2023
2083,EQ ID 2083,"Digital Force Gauge, 3784067",Quality Assurance,11256,Pending,0.00,0.00,,Outside Service,0.00,,,[],Micro Quality Calibration,4/15/2025
2083,EQ ID 2083,"Digital Force Gauge, 3784067",Quality Assurance,1015,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:45:27 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],Micro Quality Calibration,3/18/2023
1945,EQ ID 1945,"EZ Torq II 150i Torque Analyzer, EZ1705007, QA",Quality Assurance,11255,Pending,0.00,0.00,,Outside Service,0.00,,,[],Micro Quality Calibration,4/15/2025
1945,EQ ID 1945,"EZ Torq II 150i Torque Analyzer, EZ1705007, QA",Quality Assurance,1000,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:45:16 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],Micro Quality Calibration,3/18/2023
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,11278,Pending,0.00,0.00,,Outside Service,0.00,,,[],Calibrated by Cornerstone Metrology Service,4/15/2025
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,11279,Pending,0.00,0.00,,QA Technician,0.00,,,[],Micro Quality Calibration,4/15/2025
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,915,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:17 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],Calibrated by Cornerstone Metrology Service,3/18/2023
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,916,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:24 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],Micro Quality Calibration,3/18/2023
1591,EQ ID 1591,"Boundary Board, Center Bend Tooling Marks, QA",Quality Assurance,11280,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Any items that need to be replaced, must be ordered from BED.",4/15/2025
1591,EQ ID 1591,"Boundary Board, Center Bend Tooling Marks, QA",Quality Assurance,937,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:37 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],"Any items that need to be replaced, must be ordered from BED.",3/18/2023
1592,EQ ID 1592,"Boundary Board, Weld Spatter, QA",Quality Assurance,11277,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Any items that need to be replaced, must be ordered from BED",4/15/2025
1592,EQ ID 1592,"Boundary Board, Weld Spatter, QA",Quality Assurance,938,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:09 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],"Any items that need to be replaced, must be ordered from BED",3/18/2023
1628,EQ ID 1628,"EZ Torq II Torque Analyzer, EZ1410017, QA (CMS Recall)",Quality Assurance,11281,Pending,0.00,0.00,,Outside Service,0.00,,,[],Micro Quality Calibration,4/15/2025
1628,EQ ID 1628,"EZ Torq II Torque Analyzer, EZ1410017, QA (CMS Recall)",Quality Assurance,952,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:45 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],Micro Quality Calibration,3/18/2023
1664,EQ ID 1664,"Boundary Board, Flange Welding, QA",Quality Assurance,6572,Pending,0.00,0.00,,QA Technician,0.00,,,[],"1) Review samples
2) Review labels and stickers

Replace anything damaged or missing. Replacements must be requested from BED.",7/24/2024
1664,EQ ID 1664,"Boundary Board, Flange Welding, QA",Quality Assurance,956,Closed and Completed,0.00,0.20,Carmen Yauri,,0.00,7/11/2023,,[],"1) Review samples
2) Review labels and stickers

Replace anything damaged or missing. Replacements must be requested from BED.",3/18/2023
1878,EQ ID 1878,"Boundary Board, Grab Bar Bending Tooling Marks, QA",Quality Assurance,11232,Pending,0.00,0.00,,QA Technician,0.00,,,[],"1) Review samples
2) Review labels and stickers

Replace anything damaged or missing.  Replacements must be requested from BED.",4/15/2025
1878,EQ ID 1878,"Boundary Board, Grab Bar Bending Tooling Marks, QA",Quality Assurance,987,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:42:13 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],"1) Review samples
2) Review labels and stickers

Replace anything damaged or missing.  Replacements must be requested from BED.",3/18/2023
76,EQ ID 76,"Boundary Board, Assembly, 150 brackets",Quality Assurance,6573,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Review board for condition, location, use, and accuracy",7/24/2024
76,EQ ID 76,"Boundary Board, Assembly, 150 brackets",Quality Assurance,57,Closed and Completed,0.00,0.25,Carmen Yauri,,0.00,7/12/2023,,[],"Review board for condition, location, use, and accuracy",3/18/2023
77,EQ ID 77,"Boundary Board, Assembly, 5050 / 5090 Vessels",Quality Assurance,6574,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Review board for condition, location, use, and accuracy",7/24/2024
77,EQ ID 77,"Boundary Board, Assembly, 5050 / 5090 Vessels",Quality Assurance,58,Closed and Completed,0.00,0.25,Carmen Yauri,,0.00,7/12/2023,,[],"Review board for condition, location, use, and accuracy",3/18/2023
78,EQ ID 78,"Boundary Board, TPF, Edge Bander",Quality Assurance,6575,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Audit samples for damage, location and proper use.",7/24/2024
78,EQ ID 78,"Boundary Board, TPF, Edge Bander",Quality Assurance,11218,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Audit samples for damage, location, and proper use.",4/15/2025
78,EQ ID 78,"Boundary Board, TPF, Edge Bander",Quality Assurance,59,Closed and Completed,0.00,0.20,Carmen Yauri,,0.00,7/12/2023,,[],"Audit samples for damage, location and proper use.",3/18/2023
78,EQ ID 78,"Boundary Board, TPF, Edge Bander",Quality Assurance,60,Closed without Action,0.00,0.00,md,,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:40:09 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[],"Audit samples for damage, location, and proper use.",3/18/2023
80,EQ ID 80,"Boundary Board, TPF, 1540 Door Notcher",Quality Assurance,6576,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Audit samples for damage, location, and proper use",7/24/2024
80,EQ ID 80,"Boundary Board, TPF, 1540 Door Notcher",Quality Assurance,61,Closed and Completed,0.00,0.20,Carmen Yauri,,0.00,7/12/2023,,[],"Audit samples for damage, location, and proper use",3/18/2023
83,EQ ID 83,"Boundary Board, Soap Dispenser Assembly, 40 Vessel",Quality Assurance,6577,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Audit samples for damage, location, and proper use",7/24/2024
83,EQ ID 83,"Boundary Board, Soap Dispenser Assembly, 40 Vessel",Quality Assurance,63,Closed and Completed,0.00,0.30,Carmen Yauri,,0.00,7/12/2023,,[],"Audit samples for damage, location, and proper use",3/18/2023
86,EQ ID 86,"Boundary Board, Soap Dispenser Assembly, 4112 can",Quality Assurance,11200,Pending,0.00,0.00,,QA Technician,0.00,,,[],"Audit samples for damage, location, and proper use",4/15/2025
