equipment_id,equipment_eq_id,equipment_name,department,wo_id,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments,audit_item,due_date
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,20096,Pending,0.00,0.00,,Maintenance,0.00,,,[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",8/27/2026
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,13414,Closed and Completed,0.00,0.40,Mike d,,0.00,12/9/2024,"Miguel Diaz - 12/09/24  9:43:12 AM: *Remove side cover using key and allen to remove door then hit E -stop 
*Spray using Teflon spray on extractor top left and right sides.
*Spray using Teflon spray on  extractor chains for  both sides left and right 
*Spray using Teflon spray on metal tray guides at entrance so it glides easier .",[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",11/29/2024
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14010,Closed and Completed,0.00,0.40,Max Mike,,0.00,1/4/2025,"Miguel Diaz - 01/06/25  7:39:48 AM: Showed Max how to perform the scheduled pm for this machine 
Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using Teflon spray on extractor top left and right sides.
*Spray using Teflon spray on  extractor chains for  both sides left and right 
*Spray using Teflon spray on metal tray guides at entrance so it glides easier .",[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",1/9/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14255,Closed and Completed,0.00,0.50,Md Gabriel,,0.00,2/6/2025,"Miguel Diaz - 02/11/25 11:03:45 AM: *Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",2/6/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14439,Closed and Completed,0.00,0.20,MD Gabriel,,0.00,2/19/2025,Miguel Diaz - 02/19/25  8:12:56 AM: Greased trays,[],Grease trays every two weeks,2/7/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14627,Closed and Completed,0.00,0.50,G Shinobi,,0.00,3/10/2025,"Gabriel Shinobi - 03/10/25 10:43:33 AM: jack piston missing clip, raised piston added clip. working now.",[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",3/11/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,15069,Closed and Completed,0.00,1.00,Outside tech,,0.00,3/26/2025,Gabriel Shinobi - 04/15/25 10:51:53 AM: inspected no replacing required,[],"Kardex Remstar scheduled maintenance on the equipment. Scheduled maintenance must be performed biannually, including during the first two years, by Kardex Remstar Certified Technicians, and performance of that scheduled maintenance must be reported by Kardex Remstar promptly via your local Kardex Remstar dealer. 

Scheduled Maintenance checklist must be reported to Kardex Remstar within 30 days of performance of scheduled maintenance.",4/14/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14993,Closed and Completed,0.00,0.50,G Shinobi,,0.00,4/11/2025,,[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",4/10/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,15356,Closed and Completed,0.00,0.50,G Shinobi,,0.00,5/8/2025,,[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",5/11/2025
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,15680,Closed and Completed,0.00,0.50,Shinobi,,0.00,6/17/2025,Gabriel Shinobi - 06/18/25 10:44:20 AM: found sensor cable detached and bracket bent. straightened bracket reattached sensor cable.,[],"*Remove side cover using key and Allen to remove door then hit E -stop 
*Spray using WD-40 Silicone spray on extractor top left and right sides.
*Spray using WD-40 Silicone  spray on  extractor chains for  both sides left and right 
*Spray using WD-40 silicone spray on metal tray guides at entrance so it glides easier .
*Spray left side couplings x 2 location 60 '' floor floor or higher.
*Spray middle coupling location in the center rod rotates needs lubrication .
Only use WD-40 Silicone spray it can be purchased from Grainger part # 19L521",6/8/2025
